Loan Identifier|Loan Correction Indicator|Prefix|Security Identifier|CUSIP|Mortgage Loan Amount|Issuance Investor Loan UPB|Current Investor Loan UPB|Amortization Type|Original Interest Rate|Issuance Interest Rate|Current Interest Rate|Issuance Net Interest Rate|Current Net Interest Rate|First Payment Date|Maturity Date|Loan Term|Remaining Months to Maturity|Loan Age|Loan-To-Value (LTV)|Combined Loan-To-Value (CLTV)|Debt-To-Income (DTI)|Borrower Credit Score|Filler|Filler|Filler|Number of Borrowers|First Time Home Buyer Indicator|Loan Purpose|Occupancy Status|Number of Units|Property Type|Channel|Property State|Seller Name|Servicer Name|Mortgage Insurance Percent|Mortgage Insurance Cancellation Indicator|Government Insured Guarantee|Assumability Indicator|Interest Only Loan Indicator|Interest Only First Principal and Interest Payment Date|Months to Amortization|Prepayment Penalty Indicator|Prepayment Penalty Total Term|Index|Mortgage Margin|MBS PC Margin|Interest Rate Adjustment Frequency|Interest Rate Lookback|Interest Rate Rounding Method|Interest Rate Rounding Method Percent|Convertibility Indicator|Initial Fixed Rate Period|Next Interest Rate Adjustment Date|Months to Next Interest Rate Adjustment Date|Life Ceiling Interest Rate|Life Ceiling Net Interest Rate|Life Floor Interest Rate|Life Floor Net Interest Rate|Initial Interest Rate Cap Up Percent|Initial Interest Rate Cap Down Percent|Periodic Interest Rate Cap Up Percent|Periodic Interest Rate Cap Down Percent|Modification Program|Modification Type|Number of Modifications|Total Capitalized Amount|Interest Bearing Mortgage Loan Amount|Original Deferred Amount|Current Deferred UPB|Loan Age As Of Modification|Estimated Loan-To-Value (ELTV)|Updated Credit Score|Filler|Interest Rate Step Indicator|Initial Step Fixed-Rate Period|Total Number of Steps|Number of Remaining Steps|Next Step Rate|Terminal Step Rate|Terminal Step Date|Step Rate Adjustment Frequency|Next Step Rate Adjustment Date|Months to Next Step Rate Adjustment Date|Periodic Step Cap Up Percent|Origination Mortgage Loan Amount|Origination Interest Rate|Origination Amortization Type|Origination Interest Only Loan Indicator|Origination First Payment Date|Origination Maturity Date|Origination Loan Term|Origination Loan-To-Value (LTV)|Origination Combined Loan-To-Value (CLTV)|Origination Debt-To-Income Ratio|Origination Credit Score|Filler|Filler|Filler|Origination Loan Purpose|Origination Occupancy Status|Origination Channel|Days Delinquent|Loan Performance History|Loan Participation Percent|Property Valuation Method|Alternative Delinquency Resolution|Number of Alternative Delinquency Resolutions|Total Deferral Amount|Borrower Assistance Plan|Seller City|Seller State|Servicer City|Servicer State|Special Eligibility Program
U90133000131|No|U9|U90133|3132H3EE9|101000.00|101000.00|73499.60|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|208|128|156|156|18|660||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|MI|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000133|No|U9|U90133|3132H3EE9|170000.00|170000.00|130790.03|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|228|128|190|190|22|798||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000365|No|U9|U90133|3132H3EE9|163000.00|163000.00|127761.69|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|128|128|44|624||||1|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|PA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000367|No|U9|U90133|3132H3EE9|309000.00|309000.00|239882.24|Fixed|4.250|4.250|4.250|4.000|4.000|092012|082042|360|232|127|156|156|23|775||||1|No|Refinance - No Cash Out|Primary Home|1|Planned Unit|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000370|No|U9|U90133|3132H3EE9|138000.00|138000.00|108222.92|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|231|128|161|161|52|705||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|GA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|25|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000313|No|U9|U90133|3132H3EE9|86000.00|86000.00|65762.54|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|225|128|167|167|19|741||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|GA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000337|No|U9|U90133|3132H3EE9|139000.00|139000.00|106830.82|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|228|128|146|146|999|679||||1|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|IL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|25|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000339|No|U9|U90133|3132H3EE9|217000.00|217000.00|165148.07|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|223|128|181|181|999|700||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000349|No|U9|U90133|3132H3EE9|137000.00|137000.00|107430.88|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|174|174|59|689||||1|No|Refinance - No Cash Out|Primary Home|1|Planned Unit|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000938|No|U9|U90133|3132H3EE9|237000.00|237000.00|186129.86|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|191|191|32|737||||2|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000944|No|U9|U90133|3132H3EE9|94000.00|94000.00|71578.74|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|224|128|151|151|19|708||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|AZ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000352|No|U9|U90133|3132H3EE9|266000.00|266000.00|209308.77|Fixed|4.500|4.500|4.500|4.000|4.000|092012|082042|360|233|127|198|198|58|680||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|MI|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000358|No|U9|U90133|3132H3EE9|193000.00|193000.00|151665.37|Fixed|4.500|4.500|4.500|4.000|4.000|092012|082042|360|233|127|147|147|999|712||||1|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|IL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000948|No|U9|U90133|3132H3EE9|139000.00|138000.00|105528.12|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|221|128|160|160|32|713||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|GA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000959|No|U9|U90133|3132H3EE9|245000.00|245000.00|170787.05|Fixed|4.250|4.250|4.250|4.000|4.000|082012|072037|300|172|128|207|207|42|710||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|GA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Yes||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000960|No|U9|U90133|3132H3EE9|250000.00|250000.00|196398.33|Fixed|4.500|4.500|4.500|4.000|4.000|092012|082042|360|233|127|139|139|999|793||||1|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000961|No|U9|U90133|3132H3EE9|234000.00|234000.00|183713.65|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|164|164|999|788||||1|No|Refinance - No Cash Out|Investment Property|1|Condominium|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|17|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000963|No|U9|U90133|3132H3EE9|306000.00|306000.00|238723.31|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|232|128|126|126|43|614||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|GA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Payment Deferral|1|2000.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000964|No|U9|U90133|3132H3EE9|77000.00|77000.00|59518.43|Fixed|4.250|4.250|4.250|4.000|4.000|082012|072042|360|232|128|187|187|999|718||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|MI|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000965|No|U9|U90133|3132H3EE9|183000.00|183000.00|33552.50|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|40|128|157|157|999|656||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000328|No|U9|U90133|3132H3EE9|155000.00|155000.00|87049.84|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|144|128|135|135|32|687||||2|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000776|No|U9|U90133|3132H3EE9|159000.00|159000.00|123848.16|Fixed|4.250|4.250|4.250|4.000|4.000|082012|072042|360|232|128|137|137|29|727||||2|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|IL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|25|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000796|No|U9|U90133|3132H3EE9|389000.00|389000.00|284356.53|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|210|128|137|137|41|794||||1|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000798|No|U9|U90133|3132H3EE9|216000.00|216000.00|169097.71|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|231|128|211|211|999|709||||1|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000874|No|U9|U90133|3132H3EE9|125000.00|125000.00|50176.69|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|96|128|199|199|25|768||||1|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|NJ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Yes||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000875|No|U9|U90133|3132H3EE9|306000.00|306000.00|238596.77|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|232|128|162|162|999|680||||1|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|NJ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NEWREZ, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||150-179|||Not Available|Not Applicable|0|0.00|NO WORKOUT PLAN|COLUMBUS|OH|FORT WASHINGTON|PA|7
U90133000881|No|U9|U90133|3132H3EE9|333000.00|333000.00|261076.30|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|159|159|999|761||||1|No|Refinance - No Cash Out|Investment Property|4|Single Family|Retail|NJ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000882|No|U9|U90133|3132H3EE9|147000.00|147000.00|112625.64|Fixed|4.375|4.375|4.375|4.000|4.000|092012|082042|360|225|127|168|168|999|750||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|NV|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|COVID-19 Payment Deferral|1|2000.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000887|No|U9|U90133|3132H3EE9|173000.00|173000.00|134853.63|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|232|128|140|140|39|743||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000889|No|U9|U90133|3132H3EE9|336000.00|336000.00|262201.16|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|232|128|150|150|49|752||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000891|No|U9|U90133|3132H3EE9|231000.00|231000.00|179483.08|Fixed|4.250|4.250|4.250|4.000|4.000|082012|072042|360|232|128|178|178|45|778||||1|No|Refinance - No Cash Out|Primary Home|2|Single Family|Retail|IL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000894|No|U9|U90133|3132H3EE9|164000.00|164000.00|124202.67|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|222|128|141|141|999|700||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|WI|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|16|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000896|No|U9|U90133|3132H3EE9|118000.00|118000.00|59529.60|Fixed|4.250|4.250|4.250|4.000|4.000|082012|072037|300|114|128|146|146|45|740||||1|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|IL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000900|No|U9|U90133|3132H3EE9|120000.00|120000.00|92358.59|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|226|128|135|135|55|745||||1|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|MI|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000904|No|U9|U90133|3132H3EE9|170000.00|170000.00|131477.38|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|228|128|149|149|29|770||||2|No|Refinance - No Cash Out|Investment Property|2|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000906|No|U9|U90133|3132H3EE9|195000.00|195000.00|151720.24|Fixed|4.250|4.250|4.250|4.000|4.000|082012|072042|360|232|128|140|140|31|689||||2|No|Refinance - No Cash Out|Primary Home|1|Planned Unit|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|COVID-19 Payment Deferral|1|23000.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000910|No|U9|U90133|3132H3EE9|152000.00|152000.00|105425.12|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072037|300|170|128|160|160|28|784||||1|No|Refinance - No Cash Out|Primary Home|1|Condominium|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000914|No|U9|U90133|3132H3EE9|279000.00|279000.00|208714.51|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|216|128|218|218|999|752||||2|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000925|No|U9|U90133|3132H3EE9|86000.00|86000.00|67654.34|Fixed|4.500|4.500|4.500|4.000|4.000|092012|082042|360|233|127|162|162|65|757||||1|No|Refinance - No Cash Out|Primary Home|1|Planned Unit|Retail|GA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000931|No|U9|U90133|3132H3EE9|202000.00|202000.00|156797.06|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|228|128|155|155|999|742||||1|No|Refinance - No Cash Out|Investment Property|1|Planned Unit|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000932|No|U9|U90133|3132H3EE9|176000.00|176000.00|137118.90|Fixed|4.250|4.250|4.250|4.000|4.000|092012|082042|360|233|127|209|209|32|804||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|FL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000933|No|U9|U90133|3132H3EE9|344000.00|343000.00|237782.66|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|192|128|142|142|42|791||||1|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000805|No|U9|U90133|3132H3EE9|201000.00|201000.00|157635.95|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|146|146|999|724||||2|No|Refinance - No Cash Out|Investment Property|1|Planned Unit|Retail|AZ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000808|No|U9|U90133|3132H3EE9|285000.00|285000.00|219445.12|Fixed|4.250|4.250|4.250|4.000|4.000|082012|072042|360|229|128|171|171|39|624||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000812|No|U9|U90133|3132H3EE9|415000.00|415000.00|322185.64|Fixed|4.250|4.250|4.250|4.000|4.000|082012|072042|360|232|128|137|137|999|599||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|COVID-19 Payment Deferral|2|6000.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
